"EventID","MachineName","Data","Index","Category","CategoryNumber","EntryType","Message","Source","ReplacementStrings","InstanceId","TimeGenerated","TimeWritten","UserName","Site","Container"
"10001","DESKTOP-M50Q44R","System.Byte[]","993","(0)","0","Information","Ending session 1 started 2023-11-16T02:07:07.659240400Z.","Microsoft-Windows-RestartManager","System.String[]","10001","11/15/2023 9:07:07 PM","11/15/2023 9:07:07 PM","DESKTOP-M50Q44R\champuser",,
"10000","DESKTOP-M50Q44R","System.Byte[]","992","(0)","0","Information","Starting session 1 - 2023-11-16T02:07:07.659240400Z.","Microsoft-Windows-RestartManager","System.String[]","10000","11/15/2023 9:07:07 PM","11/15/2023 9:07:07 PM","DESKTOP-M50Q44R\champuser",,
"15","DESKTOP-M50Q44R","System.Byte[]","991","(0)","0","Information","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON.","SecurityCenter","System.String[]","15","11/15/2023 7:53:48 PM","11/15/2023 7:53:48 PM",,,
"15","DESKTOP-M50Q44R","System.Byte[]","990","(0)","0","Information","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON.","SecurityCenter","System.String[]","15","11/15/2023 7:53:48 PM","11/15/2023 7:53:48 PM",,,
"15","DESKTOP-M50Q44R","System.Byte[]","989","(0)","0","Information","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON.","SecurityCenter","System.String[]","15","11/15/2023 7:53:32 PM","11/15/2023 7:53:32 PM",,,
"15","DESKTOP-M50Q44R","System.Byte[]","988","(0)","0","Information","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON.","SecurityCenter","System.String[]","15","11/15/2023 7:53:32 PM","11/15/2023 7:53:32 PM",,,
"16384","DESKTOP-M50Q44R","System.Byte[]","987","(0)","0","Information","Successfully scheduled Software Protection service for re-start at 2023-11-17T00:40:56Z. Reason: RulesEngine.","Software Protection Platform Service","System.String[]","1073758208","11/15/2023 7:51:56 PM","11/15/2023 7:51:56 PM",,,
"16394","DESKTOP-M50Q44R","System.Byte[]","986","(0)","0","Information","Offline downlevel migration succeeded.","Software Protection Platform Service","System.String[]","3221241866","11/15/2023 7:51:16 PM","11/15/2023 7:51:16 PM",,,
"8224","DESKTOP-M50Q44R","System.Byte[]","985","(0)","0","Information","The VSS service is shutting down due to idle timeout.
","VSS","System.String[]","8224","11/15/2023 7:44:13 PM","11/15/2023 7:44:13 PM",,,
"16384","DESKTOP-M50Q44R","System.Byte[]","984","(0)","0","Information","Successfully scheduled Software Protection service for re-start at 2023-11-17T00:40:47Z. Reason: RulesEngine.","Software Protection Platform Service","System.String[]","1073758208","11/15/2023 7:43:47 PM","11/15/2023 7:43:47 PM",,,
"15","DESKTOP-M50Q44R","System.Byte[]","983","(0)","0","Information","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON.","SecurityCenter","System.String[]","15","11/15/2023 7:43:15 PM","11/15/2023 7:43:15 PM",,,
"15","DESKTOP-M50Q44R","System.Byte[]","982","(0)","0","Information","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON.","SecurityCenter","System.String[]","15","11/15/2023 7:43:15 PM","11/15/2023 7:43:15 PM",,,
"1","DESKTOP-M50Q44R","System.Byte[]","981","(0)","0","Information","The Windows Security Center Service has started.","SecurityCenter","System.String[]","1","11/15/2023 7:43:13 PM","11/15/2023 7:43:13 PM",,,
"16394","DESKTOP-M50Q44R","System.Byte[]","980","(0)","0","Information","Offline downlevel migration succeeded.","Software Protection Platform Service","System.String[]","3221241866","11/15/2023 7:43:12 PM","11/15/2023 7:43:12 PM",,,
"900","DESKTOP-M50Q44R","System.Byte[]","979","(0)","0","Information","The Software Protection service is starting.
Parameters:<explicit>","Software Protection Platform Service","System.String[]","1073742724","11/15/2023 7:43:12 PM","11/15/2023 7:43:12 PM",,,
