"EventID","MachineName","Data","Index","Category","CategoryNumber","EntryType","Message","Source","ReplacementStrings","InstanceId","TimeGenerated","TimeWritten","UserName","Site","Container"
"16","DESKTOP-M50Q44R","System.Byte[]","1588","(0)","0","Information","The description for Event ID '16' in Source 'Microsoft-Windows-Kernel-General' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'45', '\??\C:\Windows\AppCompat\Programs\Amcache.hve', '11', '2'","Microsoft-Windows-Kernel-General","System.String[]","16","11/15/2023 9:38:23 PM","11/15/2023 9:38:23 PM","NT AUTHORITY\SYSTEM",,
"7040","DESKTOP-M50Q44R","System.Byte[]","1587","(0)","0","Information","The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","Service Control Manager","System.String[]","1073748864","11/15/2023 7:55:44 PM","11/15/2023 7:55:44 PM","NT AUTHORITY\SYSTEM",,
"7040","DESKTOP-M50Q44R","System.Byte[]","1586","(0)","0","Information","The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","Service Control Manager","System.String[]","1073748864","11/15/2023 7:53:42 PM","11/15/2023 7:53:42 PM","NT AUTHORITY\SYSTEM",,
"16","DESKTOP-M50Q44R","System.Byte[]","1585","(0)","0","Information","The description for Event ID '16' in Source 'Microsoft-Windows-Kernel-General' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'90', '\??\C:\Users\champuser\AppData\Local\Packages\InputApp_cw5n1h2txyewy\Settings\settings.dat', '2', '1'","Microsoft-Windows-Kernel-General","System.String[]","16","11/15/2023 7:49:24 PM","11/15/2023 7:49:24 PM","NT AUTHORITY\SYSTEM",,
"7040","DESKTOP-M50Q44R","System.Byte[]","1584","(0)","0","Information","The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","Service Control Manager","System.String[]","1073748864","11/15/2023 7:45:35 PM","11/15/2023 7:45:35 PM","NT AUTHORITY\SYSTEM",,
"10016","DESKTOP-M50Q44R","System.Byte[]","1583","(0)","0","Error","The description for Event ID '10016' in Source 'DCOM' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'application-specific', 'Local', 'Launch', 'Windows.SecurityCenter.SecurityAppBroker', 'Unavailable', 'NT AUTHORITY', 'SYSTEM', 'S-1-5-18', 'LocalHost (Using LRPC)', 'Unavailable', 'Unavailable'","DCOM","System.String[]","10016","11/15/2023 7:43:12 PM","11/15/2023 7:43:12 PM","NT AUTHORITY\SYSTEM",,
"10016","DESKTOP-M50Q44R","System.Byte[]","1582","(0)","0","Error","The description for Event ID '10016' in Source 'DCOM' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'application-specific', 'Local', 'Launch', 'Windows.SecurityCenter.WscBrokerManager', 'Unavailable', 'NT AUTHORITY', 'SYSTEM', 'S-1-5-18', 'LocalHost (Using LRPC)', 'Unavailable', 'Unavailable'","DCOM","System.String[]","10016","11/15/2023 7:43:12 PM","11/15/2023 7:43:12 PM","NT AUTHORITY\SYSTEM",,
"10016","DESKTOP-M50Q44R","System.Byte[]","1581","(0)","0","Error","The description for Event ID '10016' in Source 'DCOM' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'application-specific', 'Local', 'Launch', 'Windows.SecurityCenter.WscDataProtection', 'Unavailable', 'NT AUTHORITY', 'SYSTEM', 'S-1-5-18', 'LocalHost (Using LRPC)', 'Unavailable', 'Unavailable'","DCOM","System.String[]","10016","11/15/2023 7:43:12 PM","11/15/2023 7:43:12 PM","NT AUTHORITY\SYSTEM",,
"16","DESKTOP-M50Q44R","System.Byte[]","1580","(0)","0","Information","The description for Event ID '16' in Source 'Microsoft-Windows-Kernel-General' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'107', '\??\C:\Users\champuser\AppData\Local\Packages\Microsoft.Windows.Cortana_cw5n1h2txyewy\Settings\settings.dat', '34', '7'","Microsoft-Windows-Kernel-General","System.String[]","16","11/15/2023 7:41:37 PM","11/15/2023 7:41:37 PM","NT AUTHORITY\SYSTEM",,
"16","DESKTOP-M50Q44R","System.Byte[]","1579","(0)","0","Information","The description for Event ID '16' in Source 'Microsoft-Windows-Kernel-General' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'119', '\??\C:\Users\champuser\AppData\Local\Packages\Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy\Settings\settings.dat', '3', '1'","Microsoft-Windows-Kernel-General","System.String[]","16","11/15/2023 7:41:37 PM","11/15/2023 7:41:37 PM","NT AUTHORITY\SYSTEM",,
"16","DESKTOP-M50Q44R","System.Byte[]","1578","(0)","0","Information","The description for Event ID '16' in Source 'Microsoft-Windows-Kernel-General' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'67', '\??\C:\Users\champuser\AppData\Local\Microsoft\Windows\UsrClass.dat', '657', '142'","Microsoft-Windows-Kernel-General","System.String[]","16","11/15/2023 7:41:35 PM","11/15/2023 7:41:35 PM","NT AUTHORITY\SYSTEM",,
"16","DESKTOP-M50Q44R","System.Byte[]","1577","(0)","0","Information","The description for Event ID '16' in Source 'Microsoft-Windows-Kernel-General' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'33', '\??\C:\Users\champuser\ntuser.dat', '918', '98'","Microsoft-Windows-Kernel-General","System.String[]","16","11/15/2023 7:41:35 PM","11/15/2023 7:41:35 PM","NT AUTHORITY\SYSTEM",,
